kmer_id	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrY
k16_8360e834	1.0	0.7983983369854921	0.0020289873520479007	0.0005421446529228762	0.005208229524217802	nan	0.2919007523605404	nan	0.006174785548919342	0.5524148479482324	nan	nan	nan	nan	nan	0.7691547374788488	0.06513886920234493	nan	nan	0.011459247611451893	nan	nan	0.0020256616759170586	0.0004603189912409914
k16_8f53d8f5	1.0	0.8505140679497092	0.002063728016079818	0.0005656271910095847	0.006003088731538304	nan	0.28396000156885154	nan	0.006953081635509192	0.6119333666720168	nan	nan	nan	nan	nan	0.7700021184124963	0.07383165232402791	nan	nan	0.015355086455905652	nan	nan	0.002575431746450913	0.001657777118891276
k16_3d4f63d4	1.0	0.8478579782506419	0.03726768521519354	0.04586364170598734	0.06668870051056969	nan	0.334439673621508	nan	0.12247092233786898	0.6038684169349103	nan	nan	nan	nan	nan	0.7116864834618735	0.2609060991703147	nan	nan	0.1073420703149162	nan	nan	0.03534912319176828	0.11741287798109425
k16_0e8360e8	1.0	0.8737783206925611	0.045159950441464355	0.04276127256993321	0.0642703158625839	nan	0.3594870716431712	nan	0.12277862252290662	0.6728576775304821	nan	nan	nan	nan	nan	0.6404881333155392	0.27045893184113307	nan	nan	0.11061622486148237	nan	nan	0.034822237467936064	0.3205009897872086
k16_3a0d83a0	1.0	0.9152539593912701	0.04410835128597042	0.047759255777296825	0.06827370329362763	nan	0.3791166944478989	nan	0.13575816769831153	0.6613892695357297	nan	nan	nan	nan	nan	0.7813992941820431	0.28399759070394126	nan	nan	0.10822081294247565	nan	nan	0.041040073143236565	0.29856571573010005
k16_0d83a0d3	0.8836541856579133	0.9849716552486979	0.0	0.0	0.00048540990907780957	nan	0.38182656881735816	nan	0.00401203854676911	0.6552966638339579	nan	nan	nan	nan	nan	1.0	0.08443349030909923	nan	nan	0.0	nan	nan	0.0	0.00036520656073836186
k16_360e834d	0.8954667575434855	0.9144372391505466	0.0	0.0	0.0005037923161136308	nan	0.35471291524875925	nan	0.0038105257288826616	0.49261850065300666	nan	nan	nan	nan	nan	1.0	0.07731533056779546	nan	nan	0.0	nan	nan	0.0	0.00041772317234005076
k16_38e3d4f6	0.8895618004090214	1.0	0.0	0.0	0.0	nan	0.4015825484930444	nan	0.0029212261847821764	0.41981290231917284	nan	nan	nan	nan	nan	0.8634531750949941	0.08700588934415893	nan	nan	0.0	nan	nan	0.0	0.0002488173168303166
k16_83a0d34d	0.8687744143592564	1.0	0.0	0.0	0.0	nan	0.3872172001584348	nan	0.0031188218663842047	0.32555110742108634	nan	nan	nan	nan	nan	0.8522063285750605	0.08768709465933318	nan	nan	0.0	nan	nan	0.0	0.00024379767789405173
k16_d83a0d34	0.6342428341584104	1.0	0.0	0.0	0.0	nan	0.419773924254311	nan	0.003329007764771322	0.36467217996054235	nan	nan	nan	nan	nan	0.8997596899789435	0.09636509336869846	nan	nan	0.0	nan	nan	0.0	0.0002730049843171689
k16_53d8f53d	1.0	0.9036301937571513	0.06129218617219118	0.056244046013722605	0.08586444973984372	nan	0.36935161141757605	nan	0.15470344023503738	0.4643255930870338	nan	nan	nan	nan	nan	0.7058585018182096	0.3145238420314218	nan	nan	0.12294456423945078	nan	nan	0.04977545405828149	0.5815924056878073
k16_34d360e8	0.7733392217305618	1.0	0.0	0.0	0.0	nan	0.42419940038376436	nan	0.0032192647941826683	0.35003786434610634	nan	nan	nan	nan	nan	0.8490658332111075	0.08450772370687011	nan	nan	0.0	nan	nan	0.0	0.00016367510214786138
k16_360e8360	1.0	0.6998222493662611	0.0017459088343657013	0.0014853394084253142	0.0023615457123860747	nan	0.2540061170532893	nan	0.08182309657121643	0.3297521700152269	nan	nan	nan	nan	nan	0.45876272587399497	0.07809426036786907	nan	nan	0.004702260342326769	nan	nan	0.0014966478121402427	0.07569956753599677
k16_0d34d83a	0.632946243278999	1.0	0.0	0.0	0.0	nan	0.4261319704950062	nan	0.003154629656334972	0.26819534558383995	nan	nan	nan	nan	nan	0.8522569342059766	0.08405005554001484	nan	nan	0.0	nan	nan	0.0	0.00014297784748707083
k16_a0d360e8	0.5964732151192432	0.7675127763211738	0.0	0.0	0.0	nan	0.33423320851212723	nan	0.00227682248847513	0.20021252316604315	nan	nan	nan	nan	nan	1.0	0.08696613568613809	nan	nan	0.0	nan	nan	0.0	0.0002337176776488044
k16_0e83a0e8	0.08391620920831976	0.0672232223683816	0.21593029082636958	0.39667571676903474	0.8783109052413426	nan	0.3872320457367526	nan	1.0	0.2626791375799886	nan	nan	nan	nan	nan	0.012499509528914505	0.43641186487279	nan	nan	0.7328355668951017	nan	nan	0.4826725311165296	0.11942473872018154
k16_3a0e83a0	0.08172078268817475	0.06532819580780751	0.17189038206581983	0.36883529495406575	0.8373111594851362	nan	0.3683060023320706	nan	1.0	0.23831720710605178	nan	nan	nan	nan	nan	0.012741466636146287	0.40378183285316027	nan	nan	0.691129841364213	nan	nan	0.4444046355064338	0.1251122968735826
k16_3d4f53d4	0.07675248672186043	0.0700461018805542	0.2237745033581306	0.41304464834116833	0.9201662526425755	nan	0.41300812521508046	nan	1.0	0.2532204497636788	nan	nan	nan	nan	nan	0.013450272004684146	0.4564408235440037	nan	nan	0.7694058726763153	nan	nan	0.5092544049131835	0.10950729117437459
k16_4f53d4f5	0.03455038467138762	0.05279043841220092	0.21302921075925835	0.3908075023362108	0.8433904098451964	nan	0.37559457188602824	nan	1.0	0.22112771808405496	nan	nan	nan	nan	nan	0.0008566852595181973	0.41965919543670155	nan	nan	0.7188510665964993	nan	nan	0.49237043396194	0.09621712668244363
k16_53d4f53d	0.046579387772764456	0.06253015597865867	0.2083179003754889	0.3956753006894138	0.8556451313567841	nan	0.38492240399157035	nan	1.0	0.23600217243349753	nan	nan	nan	nan	nan	0.012841345578254074	0.4364147857333649	nan	nan	0.7257414746286533	nan	nan	0.48066707182938256	0.09978983903152266
k16_0e83a0d0	0.02215083046064748	0.061542757501584625	0.06178800653831282	0.206376333571393	0.6592260195934616	nan	0.40212690759166675	nan	1.0	0.18255795291321497	nan	nan	nan	nan	nan	0.02635247847952862	0.30795891887922155	nan	nan	0.6975922917849194	nan	nan	0.3092485639187626	0.008314915029443658
k16_8f53d4f5	0.15526607445289908	0.1455894136766323	0.08443587591625559	0.20627454861565087	1.0	nan	0.39540696652904556	nan	0.9344357910435128	0.23374650226380536	nan	nan	nan	nan	nan	0.10994581642274623	0.33478471484829625	nan	nan	0.7044433643990511	nan	nan	0.34035047491643644	0.11899658504304508
k16_3a0e8341	0.020129674321350124	0.04915366113144138	0.025069604222772983	0.17618123111128126	0.5453202762897018	nan	0.33176241567987946	nan	1.0	0.15257950829741246	nan	nan	nan	nan	nan	3.708921763836974e-05	0.21247128977921884	nan	nan	0.6196972948169936	nan	nan	0.2940532497794497	0.00022532492375541735
k16_83a0e834	0.16760046024107153	0.16349121174935533	0.06360850864781736	0.22359538280652982	1.0	nan	0.4413391130615585	nan	0.9358773298418338	0.25865149078691513	nan	nan	nan	nan	nan	0.11798466274958688	0.31369713595444637	nan	nan	0.7416876661071011	nan	nan	0.3349272477177661	0.06715401938389216
k16_3d4f53e4	0.025973996420794326	0.024427387550186697	0.15176379677167215	0.2453542726132007	0.6346422358145268	nan	0.22539107921484045	nan	1.0	0.16949116281009124	nan	nan	nan	nan	nan	0.0005616851932542569	0.342065651795407	nan	nan	0.42408068226731954	nan	nan	0.2708157682642452	0.19373325692399657
k16_0e83a0e4	0.0263459456132855	0.027831197847137827	0.2155022035237226	0.31367531860421655	0.26577688959381096	nan	0.2603034115588261	nan	1.0	0.16623227697118267	nan	nan	nan	nan	nan	0.0013261981521133222	0.2672618249828873	nan	nan	0.6364123460174501	nan	nan	0.26960218812692155	0.24643968440628336
k16_3a0e8390	0.024555311683676518	0.02743770648877866	0.16080407465234547	0.2243700292504264	0.25662369202375596	nan	0.24278818345084208	nan	1.0	0.15596333466422455	nan	nan	nan	nan	nan	0.0005407691906180903	0.2398075373795616	nan	nan	0.5501354192968603	nan	nan	0.23585361948412456	0.2421668446959172
k16_0e43a0e8	0.0345141431721681	0.03246297835338854	0.17469265278235097	0.2757379572235412	0.3980358926595217	nan	0.2826991334253051	nan	1.0	0.24742815915720656	nan	nan	nan	nan	nan	0.0005097816827608191	0.4202231980724214	nan	nan	0.5315090118546274	nan	nan	0.22460584395775646	0.1492092922560505
k16_83a0e839	0.024757132729294824	0.02406762814547121	0.19210084253070905	0.2914313687338496	0.2646541195826605	nan	0.253379510135799	nan	1.0	0.15858155044316163	nan	nan	nan	nan	nan	0.0013121148621016445	0.27039564680482797	nan	nan	0.631445281962184	nan	nan	0.24222834657858291	0.3217149336105374
k16_4f53e4f5	0.03403925302294482	0.02876850710672262	0.16765780008660358	0.30693245742276215	0.36774287910624714	nan	0.22755888859108092	nan	1.0	0.25296420820276916	nan	nan	nan	nan	nan	0.0004438251504366882	0.3790073175365602	nan	nan	0.47040583199031977	nan	nan	0.22748503089677602	0.1411267967465343
