query_index	kmer_id	target_family	query_category	group	scope	max_mismatches	in_group_count_ge10_fraction	out_group_count_ge10_fraction	in_group_median_density_per_M	out_group_median_density_per_M	log2_median_density_ratio	passes_group_enrichment_screen	passes_group_specific_screen
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G1	core	0	1.0	0.9909365558912386	81.16717046555954	18.172667202365293	2.15906453000189	1	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G1	all_available	0	1.0	1.0	214.8710216424617	226.3918390185128	-0.07535068279031251	0	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G1	core	1	1.0	0.9969788519637462	321.5284723902564	360.30531959473484	-0.16427297062090282	0	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G1	all_available	1	1.0	1.0	286.09380042146233	296.3489462746873	-0.050808518061617174	0	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G1	core	2	1.0	1.0	381.3984465384847	447.0422392610563	-0.22911162951107075	0	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G1	all_available	2	1.0	1.0	316.5764043533371	329.69174152666886	-0.058563838077981344	0	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G2	core	0	0.9285714285714286	1.0	81.38520891035223	21.985500039259822	1.8881663825902006	0	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G2	all_available	0	1.0	1.0	196.17631365278152	224.74996104143324	-0.19616906977021187	0	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G2	core	1	0.9761904761904762	1.0	133.33362548290347	356.0100977409541	-1.4168707336986288	0	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G2	all_available	1	1.0	1.0	262.79961110146246	296.3489462746873	-0.17333316553479977	0	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G2	core	2	1.0	1.0	184.0941033294394	441.9852898229182	-1.2635503651450177	0	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G2	all_available	2	1.0	1.0	284.97283018189717	327.4831624645949	-0.20059569856075019	0	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G3	core	0	1.0	0.985	17.358874633293773	81.28046090189446	-2.227169803236382	0	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G3	all_available	0	1.0	1.0	226.7227458438019	209.50823129142702	0.11392168659054011	0	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G3	core	1	1.0	0.995	364.5665111133386	314.82782378160874	0.21161836840965031	0	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G3	all_available	1	1.0	1.0	301.06952508942953	279.4897962733315	0.10730069920873643	0	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G3	core	2	1.0	1.0	451.16492192732017	372.6215842999225	0.2759429829633137	0	0
0	k16_00c14d34	HSat2	regional_HSat2_G1_group_enriched_exact	G3	all_available	2	1.0	1.0	336.22349692813987	314.90343692923886	0.0945107566469068	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G1	core	0	1.0	0.9818731117824774	68.14686153441663	16.456919311724615	2.0498864313400365	1	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G1	all_available	0	1.0	0.9939577039274925	213.12103818809345	221.8291839676386	-0.05777589857180938	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G1	core	1	1.0	1.0	336.33765146517703	290.56338849107993	0.21105668303783143	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G1	all_available	1	1.0	1.0	288.312733194007	294.0196940730548	-0.028278141819659576	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G1	core	2	1.0	1.0	3266.6466577066485	3962.1992400037934	-0.2784909390433096	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G1	all_available	2	1.0	1.0	2129.3638137535527	2207.0498319730627	-0.05169671670007305	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G2	core	0	0.9285714285714286	0.9932885906040269	71.24644905403221	19.993235621947907	1.8332542327050123	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G2	all_available	0	1.0	0.9955257270693513	198.92991324210863	219.02723702763438	-0.13884938955810505	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G2	core	1	1.0	1.0	165.66980931754063	298.0613093161388	-0.8472945281007719	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G2	all_available	1	1.0	1.0	266.596250204851	295.0625652237513	-0.14636388623857538	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G2	core	2	1.0	1.0	2502.4693792152666	3908.4876674331977	-0.6432578621860309	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G2	all_available	2	1.0	1.0	2079.025213147076	2191.6139651644435	-0.07608641169554596	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G3	core	0	0.9896193771626297	0.985	15.531624671894429	68.22969787375041	-2.135119338423118	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G3	all_available	0	0.9930795847750865	1.0	222.68783663487025	211.28501757978373	0.07583194159695926	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G3	core	1	1.0	1.0	291.112200560311	328.6800011463264	-0.17510780615232355	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G3	all_available	1	1.0	1.0	296.7881725424695	285.0417996437185	0.05825990197491552	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G3	core	2	1.0	1.0	3982.602574169204	3235.160180060091	0.29987429089428913	0	0
2	k16_0534d0fa	HSat2	regional_HSat2_G1_group_enriched_exact	G3	all_available	2	1.0	1.0	2227.5686501273644	2112.8678340264814	0.07626733348094834	0	0
4	k16_0b34d83a	HSat2	G3_specific	G1	core	0	0.0	0.9154078549848943	0.0	30.37395005432264	-14.89059441603938	0	0
4	k16_0b34d83a	HSat2	G3_specific	G1	all_available	0	0.6139240506329114	0.9607250755287009	1.0891917905958883	3.9734247571503913	-1.866164103803799	0	0
4	k16_0b34d83a	HSat2	G3_specific	G1	core	1	1.0	1.0	471.02313099646904	640.9801697828274	-0.44448100284311204	0	0
4	k16_0b34d83a	HSat2	G3_specific	G1	all_available	1	1.0	1.0	459.81795957974884	488.7406294929583	-0.08800604059564501	0	0
4	k16_0b34d83a	HSat2	G3_specific	G1	core	2	1.0	1.0	4366.377035413801	4642.776615964425	-0.08855113660090846	0	0
4	k16_0b34d83a	HSat2	G3_specific	G1	all_available	2	1.0	1.0	4267.667269764719	4315.484257905826	-0.01607475507380028	0	0
4	k16_0b34d83a	HSat2	G3_specific	G2	core	0	0.42857142857142855	0.6375838926174496	10.468605362525052	25.99957145533946	-1.3123362690994624	0	0
4	k16_0b34d83a	HSat2	G3_specific	G2	all_available	0	0.7142857142857143	0.8612975391498882	3.065981744907822	3.3879058536835207	-0.14399997872751785	0	0
4	k16_0b34d83a	HSat2	G3_specific	G2	core	1	1.0	1.0	248.24670777385757	627.2552193678116	-1.3372744737974835	0	0
4	k16_0b34d83a	HSat2	G3_specific	G2	all_available	1	1.0	1.0	415.78391620630555	487.02153424946033	-0.2281511052789948	0	0
4	k16_0b34d83a	HSat2	G3_specific	G2	core	2	1.0	1.0	4254.316428657269	4621.1758073790925	-0.11933260688237111	0	0
4	k16_0b34d83a	HSat2	G3_specific	G2	all_available	2	1.0	1.0	4201.913427217226	4311.201221218549	-0.037043453593639364	0	0
4	k16_0b34d83a	HSat2	G3_specific	G3	core	0	0.986159169550173	0.09	30.4754706745974	0.0	14.895408220862675	1	1
4	k16_0b34d83a	HSat2	G3_specific	G3	all_available	0	0.9965397923875432	0.635	4.159358145364094	1.3386225634087743	1.634881147606876	0	0
4	k16_0b34d83a	HSat2	G3_specific	G3	core	1	1.0	1.0	645.666175571737	459.7493367006438	0.4899400540150503	0	0
4	k16_0b34d83a	HSat2	G3_specific	G3	all_available	1	1.0	1.0	491.10664652481586	453.93151610657196	0.11356145025901712	0	0
4	k16_0b34d83a	HSat2	G3_specific	G3	core	2	1.0	1.0	4649.028265479957	4354.292011524172	0.09449101416583804	0	0
